ticker,earn_date,sig,entry_date,entry,first12,mcap_pit,tier,sector,industry,profitable,lumpy,val_ok,rev_yoy,pe,ps,ret6,xs6,ret12,xs12,ret24,xs24
A,2021-09-01,S2b,2021-09-02,171.81,True,52.059,large,Healthcare,Diagnostics & Research,True,False,True,0.258,53.8,8.8,-0.2501,-0.2228,-0.2767,-0.1545,-0.3065,-0.3327
AA,2021-05-05,S2a,2021-05-06,37.98,True,7.063,mid,Basic Materials,Aluminum,False,False,True,0.205,,0.7,0.2024,0.0771,0.5352,0.5408,-0.0834,-0.0979
AA,2021-07-29,S2a+S2b,2021-07-30,38.23,False,7.109,mid,Basic Materials,Aluminum,True,False,True,0.319,16.5,0.7,0.4155,0.3826,0.2739,0.321,-0.0857,-0.1618
AA,2022-07-25,S2b,2022-07-26,44.96,True,8.278,mid,Basic Materials,Aluminum,True,False,True,0.286,5.0,0.6,0.114,0.0695,-0.2517,-0.4361,-0.2724,-0.7078
AA,2024-08-02,S2a,2024-08-05,27.83,True,4.967,mid,Basic Materials,Aluminum,False,False,True,0.083,,0.5,0.2741,0.0987,0.0544,-0.1745,,
AA,2024-10-31,S2a,2024-11-01,39.93,False,7.126,mid,Basic Materials,Aluminum,False,False,True,0.116,,0.6,-0.3932,-0.3774,-0.084,-0.293,,
AA,2025-05-01,S2b,2025-05-02,25.21,False,6.512,mid,Basic Materials,Aluminum,True,False,True,0.296,16.0,0.6,0.4671,0.2545,1.4807,1.1946,,
AAL,2021-07-22,S2a+S2b,2021-07-23,21.2,True,13.726,large,Industrials,Airlines,False,False,True,3.61,,0.7,-0.2259,-0.2324,-0.3547,-0.2655,-0.2038,-0.268
AAL,2021-10-21,S2a,2021-10-22,19.15,False,12.399,large,Industrials,Airlines,False,False,True,1.827,,0.5,0.0538,0.1073,-0.2841,-0.1226,-0.4104,-0.3672
AAOI,2023-05-04,S1,2023-05-05,1.66,True,0.048,nano,Technology,Communication Equipment,False,False,True,0.015,,0.2,4.8198,4.7563,6.1772,5.9072,7.6727,7.2696
AAOI,2023-08-03,S1,2023-08-04,11.01,False,0.35,small,Technology,Communication Equipment,False,False,True,-0.204,,1.7,0.7929,0.6822,-0.3669,-0.5411,1.0154,0.5652
AAOI,2023-11-09,S1,2023-11-10,9.36,False,0.321,small,Technology,Communication Equipment,False,False,True,0.103,,1.5,0.0913,-0.0993,2.0208,1.6435,1.7144,1.1278
AAOI,2024-11-07,S1,2024-11-08,27.76,True,1.245,small,Technology,Communication Equipment,False,False,True,0.042,,5.9,-0.4683,-0.4189,0.0292,-0.1061,,
AAOI,2025-05-08,S1+S2b,2025-05-09,14.67,False,0.781,small,Technology,Communication Equipment,False,False,True,1.455,,3.1,0.7328,0.5184,9.1527,8.8307,,
AAON,2022-05-05,S2b,2022-05-06,34.02,True,1.805,small,Industrials,Building Products & Equipment,True,False,True,0.578,25.6,3.1,0.2623,0.3308,0.9972,0.9771,1.2212,0.9256
AAON,2022-11-07,S2b,2022-11-08,48.97,False,2.606,mid,Industrials,Building Products & Equipment,True,False,True,0.751,33.8,3.4,0.3027,0.2131,0.1836,0.0209,1.805,1.1929
AAON,2023-05-04,S1,2023-05-05,67.94,False,3.683,mid,Industrials,Building Products & Equipment,True,False,True,0.455,37.5,4.1,-0.1599,-0.2234,0.1122,-0.1579,0.4493,0.0462
AAP,2024-11-14,S1,2024-11-15,36.47,True,2.171,mid,Consumer Cyclical,Auto Parts,True,True,True,-0.032,39.1,0.2,-0.0745,-0.089,0.3576,0.1965,,
AAPL,2021-04-29,S1超+S2b,2021-04-30,127.92,True,2134.572,mega,Technology,Consumer Electronics,True,False,True,0.536,28.0,6.6,0.1432,0.0355,0.2064,0.2061,0.3056,0.2797
AAT,2021-07-30,S2b,2021-08-02,27.99,True,1.693,small,Real Estate,REIT - Diversified,True,False,True,4.416,100.5,110.7,-0.0092,-0.0614,-0.1785,-0.1243,-0.3391,-0.3994
AAT,2022-04-29,S2b,2022-05-02,27.47,False,1.662,small,Real Estate,REIT - Diversified,True,False,True,1.463,58.6,64.7,-0.2035,-0.1156,-0.4734,-0.4814,-0.3165,-0.5736
AAT,2024-08-02,S1,2024-08-05,21.68,True,1.32,small,Real Estate,REIT - Diversified,True,False,False,0.014,26.2,30.2,-0.0626,-0.238,-0.1725,-0.4013,,
AAT,2024-11-01,S1,2024-11-04,24.3,False,1.48,small,Real Estate,REIT - Diversified,True,False,True,-0.038,29.4,33.1,-0.2787,-0.274,-0.2566,-0.456,,
ABCL,2022-05-10,S2a+S2b,2022-05-11,5.72,True,1.627,small,Healthcare,Biotechnology,True,True,True,0.562,6.2,2.9,1.3741,1.3509,0.0035,-0.0636,-0.3304,-0.6986
ABCL,2022-08-09,S2b,2022-08-10,13.34,False,3.803,mid,Healthcare,Biotechnology,True,True,True,0.661,27.5,9.6,-0.2631,-0.2431,-0.5592,-0.6383,-0.7991,-1.1069
ABCL,2022-11-08,S2a+S2b,2022-11-09,11.81,False,3.375,mid,Healthcare,Biotechnology,True,True,True,17.406,20.2,7.2,-0.5207,-0.6284,-0.6579,-0.8358,-0.7714,-1.4174
ABG,2021-04-27,S2b,2021-04-28,204.7,True,3.971,mid,Consumer Cyclical,Auto & Truck Dealerships,True,False,True,0.364,15.4,0.6,-0.0422,-0.1473,-0.1511,-0.1895,-0.0549,-0.0816
ABG,2021-07-28,S2b,2021-07-29,202.62,False,3.951,mid,Consumer Cyclical,Auto & Truck Dealerships,True,False,True,0.788,10.1,0.5,-0.2256,-0.2353,-0.1529,-0.1011,0.0857,0.0169
ABG,2022-05-04,S1超+S2b,2022-05-05,190.02,True,4.351,mid,Consumer Cyclical,Auto & Truck Dealerships,True,False,True,0.784,6.9,0.4,-0.1902,-0.1073,0.0364,0.0223,0.1662,-0.1217
ABG,2022-07-28,S1超,2022-07-29,171.64,False,3.81,mid,Consumer Cyclical,Auto & Truck Dealerships,True,False,True,0.529,5.2,0.3,0.2478,0.267,0.2817,0.1545,0.4892,0.1265
ABG,2022-10-28,S2b,2022-10-31,157.75,False,3.502,mid,Consumer Cyclical,Auto & Truck Dealerships,True,False,True,0.607,4.4,0.2,0.2572,0.1723,0.2131,0.1132,0.4443,-0.0715
ABM,2022-03-09,S2b,2022-03-10,41.85,True,2.823,mid,Industrials,Specialty Business Services,True,True,True,0.297,16.8,0.4,0.0078,0.045,-0.0102,0.0681,-0.0512,-0.2909
ABM,2022-09-09,S2b,2022-09-12,40.22,False,2.661,mid,Industrials,Specialty Business Services,True,False,True,0.271,15.8,0.4,0.0177,0.0718,-0.0846,-0.1875,0.1708,-0.2311
ABNB,2021-11-05,S2a,2021-11-08,200.32,True,136.601,large,Consumer Cyclical,Travel Services,False,True,False,0.667,,23.5,-0.4041,-0.2588,-0.5063,-0.3332,-0.4126,-0.3741
ABNB,2022-05-09,S2b,2022-05-10,116.13,False,73.779,large,Consumer Cyclical,Travel Services,False,True,True,0.701,,12.4,-0.1182,-0.1156,-0.0253,-0.0773,0.26,-0.0864
ABNB,2022-08-03,S2a,2022-08-04,119.22,False,81.491,large,Consumer Cyclical,Travel Services,True,True,True,0.576,72.4,11.3,-0.0044,-0.0086,0.1757,0.0793,0.0511,-0.2363
ABSI,2022-08-11,S2b,2022-08-12,4.78,True,0.443,small,Healthcare,Biotechnology,False,False,False,0.376,,108.5,-0.4519,-0.4269,-0.6485,-0.709,-0.2343,-0.521
ABSI,2022-11-09,S2b,2022-11-10,3.06,False,0.284,micro,Healthcare,Biotechnology,False,False,False,0.539,,49.6,-0.5719,-0.6267,-0.585,-0.7189,0.3987,-0.1631
ABSI,2023-05-15,S2b,2023-05-16,1.17,False,0.108,micro,Healthcare,Biotechnology,False,False,False,0.549,,19.8,0.188,0.0826,3.0513,2.7439,1.4615,0.9735
ABSI,2023-08-14,S2b,2023-08-15,1.64,True,0.152,micro,Healthcare,Biotechnology,False,False,False,2.36,,19.0,2.1402,1.9981,1.5244,1.2581,0.7866,0.2951
ABSI,2024-11-12,S2b,2024-11-13,3.14,True,0.359,small,Healthcare,Biotechnology,False,False,False,1.286,,77.7,-0.0573,-0.0463,-0.1592,-0.2983,,
ABT,2021-05-05,S2b,2021-05-06,108.14,True,193.731,large,Healthcare,Medical Devices,True,False,True,0.353,47.0,5.6,0.055,-0.0703,-0.0405,-0.0349,-0.0312,-0.0457
ABT,2021-08-04,S2b,2021-08-05,111.68,False,200.266,mega,Healthcare,Medical Devices,True,False,True,0.395,42.2,5.4,0.0692,0.0467,-0.0918,-0.0411,-0.088,-0.1305
ABUS,2021-05-05,S2b,2021-05-06,2.8,True,0.269,micro,Healthcare,Biotechnology,False,False,False,0.417,,40.6,0.2429,0.1176,-0.0964,-0.0909,-0.0714,-0.0859
ABUS,2021-08-05,S2b,2021-08-06,3.01,False,0.294,micro,Healthcare,Biotechnology,False,False,False,0.538,,39.3,0.0365,0.019,-0.1595,-0.1072,-0.3023,-0.3523
ABUS,2021-11-04,S2b,2021-11-05,3.48,False,0.384,small,Healthcare,Biotechnology,False,False,False,1.193,,41.2,-0.2672,-0.1563,-0.2672,-0.0827,-0.4598,-0.4186
ABUS,2022-05-05,S2b,2022-05-06,2.53,True,0.376,small,Healthcare,Biotechnology,False,False,False,4.954,,18.5,-0.0395,0.029,0.0277,0.0075,0.1067,-0.1889
ABUS,2022-08-04,S2b,2022-08-05,2.53,False,0.376,small,Healthcare,Biotechnology,False,False,True,5.115,,11.6,0.1462,0.1464,-0.1542,-0.2524,0.4308,0.1413
ACAD,2023-08-03,S2a,2023-08-04,27.19,True,4.442,mid,Healthcare,Biotechnology,False,False,True,0.228,,8.1,-0.0769,-0.1876,-0.3229,-0.4971,-0.1159,-0.5661
ACAD,2023-11-03,S1超+S2b,2023-11-06,23.98,False,3.932,mid,Healthcare,Biotechnology,False,True,True,0.62,,6.3,-0.2911,-0.4852,-0.3415,-0.7164,-0.0972,-0.6754
ACAD,2024-05-09,S2b,2024-05-10,15.25,False,2.516,mid,Healthcare,Biotechnology,False,True,True,0.738,,3.6,0.198,0.0412,0.1436,0.0463,0.4295,-0.0245
ACCO,2021-07-30,S2b,2021-08-02,6.54,True,0.626,small,Industrials,Business Equipment & Supplies,True,True,True,0.411,8.1,0.4,-0.076,-0.1282,-0.1718,-0.1176,-0.2388,-0.2991
ACCO,2023-08-09,S1+S2a,2023-08-10,4.59,True,0.435,small,Industrials,Business Equipment & Supplies,False,True,True,-0.053,,0.2,0.1581,0.0256,-0.1118,-0.3238,-0.2666,-0.7306
ACDC,2022-11-14,S2b,2022-11-15,24.6,True,1.017,small,Energy,Oil & Gas Equipment & Services,False,False,True,2.556,,0.6,-0.563,-0.6082,-0.6451,-0.7913,-0.7386,-1.2519
ACGL,2021-05-06,S2b,2021-05-07,38.79,True,15.776,large,Financial,Insurance - Diversified,True,False,True,0.485,9.3,1.9,0.0449,-0.0732,0.141,0.1537,0.8666,0.8592
ACGL,2023-05-04,S2b,2023-05-05,71.14,True,26.345,large,Financial,Insurance - Diversified,True,False,True,0.631,19.8,2.7,0.1384,0.0748,0.2985,0.0285,0.3014,-0.1016
ACGL,2024-08-06,S2b,2024-08-07,92.05,True,34.37,large,Financial,Insurance - Diversified,True,False,True,0.337,9.1,2.3,0.0158,-0.15,-0.0346,-0.2688,,
ACGL,2024-11-07,S2b,2024-11-08,96.85,False,36.163,large,Financial,Insurance - Diversified,True,False,True,0.418,8.8,2.2,-0.0236,0.0257,-0.0752,-0.2105,,
ACH,2021-08-03,S2b,2021-08-04,38.99,True,2.94,mid,Healthcare,Medical Distribution,True,False,True,0.377,23.3,0.3,0.0204,-0.0086,-0.1622,-0.1191,-0.5122,-0.5614
ACIC,2023-08-21,S2a+S2b,2023-08-22,6.54,True,0.284,micro,Financial,Insurance - Property & Casualty,True,False,True,0.546,2.0,0.7,0.8476,0.6806,0.5374,0.2502,0.5636,0.0516
ACIC,2024-11-12,S2b,2024-11-13,11.93,True,0.575,small,Financial,Insurance - Property & Casualty,True,False,True,0.564,7.1,2.1,-0.1191,-0.1081,-0.0576,-0.1966,,
ACIW,2024-08-01,S2a,2024-08-02,44.86,True,4.704,mid,Technology,Software - Infrastructure,True,True,False,0.155,86.6,3.4,0.1906,0.0616,-0.0918,-0.273,,
ACLS,2021-11-05,S2b,2021-11-08,61.85,True,2.066,mid,Technology,Semiconductor Equipment & Materials,False,False,True,0.6,,3.6,-0.1182,0.0271,0.1305,0.3035,1.107,1.1456
ACLS,2022-08-04,S1超,2022-08-05,78.18,False,2.585,mid,Technology,Semiconductor Equipment & Materials,False,False,True,0.502,,3.5,0.483,0.4831,1.2479,1.1496,0.3978,0.1083
ACLS,2023-11-02,S2b,2023-11-03,131.11,True,4.297,mid,Technology,Semiconductor Equipment & Materials,False,False,True,0.276,,4.1,-0.15,-0.3346,-0.3505,-0.679,-0.3689,-0.9816
ACMR,2021-05-07,S2b,2021-05-10,22.39,True,0.49,small,Technology,Semiconductor Equipment & Materials,True,False,True,0.796,28.3,3.2,0.5137,0.3972,-0.4467,-0.4142,-0.578,-0.5958
ACMR,2021-11-08,S2b,2021-11-09,35.51,False,0.783,small,Technology,Semiconductor Equipment & Materials,True,False,True,0.406,25.4,3.7,-0.6368,-0.4943,-0.7607,-0.5732,-0.5407,-0.4979
ACMR,2022-05-09,S1,2022-05-10,12.39,True,0.817,small,Technology,Semiconductor Equipment & Materials,True,False,True,-0.035,49.8,4.0,-0.2712,-0.2685,-0.2373,-0.2893,0.8664,0.52
ACMR,2022-08-09,S2b,2022-08-10,19.62,False,1.285,small,Technology,Semiconductor Equipment & Materials,True,True,True,0.938,55.4,4.8,-0.3654,-0.3455,-0.292,-0.3711,-0.0265,-0.3343
ACMR,2022-11-08,S2b,2022-11-09,8.5,False,0.558,small,Technology,Semiconductor Equipment & Materials,True,True,True,0.995,14.8,1.6,0.1694,0.0618,0.9188,0.741,1.2612,0.6152
ACMR,2023-05-09,S1超,2023-05-10,9.45,True,0.615,small,Technology,Semiconductor Equipment & Materials,True,False,True,0.76,17.8,1.7,0.8021,0.7271,1.4471,1.1672,1.3481,0.9438
ACMR,2024-05-08,S2b,2024-05-09,25.29,True,1.675,small,Technology,Semiconductor Equipment & Materials,True,False,True,1.05,21.7,3.1,-0.24,-0.3973,-0.1226,-0.2213,1.3665,0.914
ACN,2021-12-16,S2b,2021-12-17,370.24,True,238.773,mega,Technology,Information Technology Services,True,False,True,0.272,38.5,4.4,-0.3011,-0.1026,-0.3234,-0.1704,-0.1116,-0.1704
ACNT,2021-05-10,S1+S2a,2021-05-11,9.5,True,0.088,micro,Basic Materials,Chemicals,False,False,True,-0.066,,0.3,0.3895,0.2626,0.7011,0.7404,-0.0158,-0.0409
ACNT,2021-08-09,S1+S2a+S2b,2021-08-10,10.7,False,0.1,micro,Basic Materials,Chemicals,False,False,True,0.256,,0.4,0.6542,0.6324,0.4551,0.4929,-0.1065,-0.1448
ACNT,2021-11-09,S1超+S2b,2021-11-10,13.44,False,0.126,micro,Basic Materials,Chemicals,True,False,True,0.454,77.1,0.4,0.0811,0.2146,-0.1905,-0.0547,-0.3795,-0.3594
ACNT,2022-05-10,S2b,2022-05-11,16.16,True,0.167,micro,Basic Materials,Chemicals,True,False,True,0.666,7.4,0.5,-0.3323,-0.3555,-0.4214,-0.4885,-0.3663,-0.7345
ACNT,2023-11-08,S1,2023-11-09,8.39,True,0.093,micro,Basic Materials,Chemicals,False,False,True,-0.283,,0.3,0.2098,0.0022,0.1466,-0.2509,0.5125,-0.0988
ACNT,2024-04-01,S2a,2024-04-02,10.9,False,0.121,micro,Basic Materials,Chemicals,False,False,True,-0.239,,0.6,-0.1239,-0.2272,0.1853,0.0834,0.2018,-0.093
ACNT,2024-08-06,S1,2024-08-07,10.24,False,0.114,micro,Basic Materials,Chemicals,False,True,True,-0.003,,0.6,0.0889,-0.0769,0.2656,0.0314,,
ACNT,2024-11-12,S1,2024-11-13,9.59,True,0.106,micro,Basic Materials,Chemicals,False,False,True,-0.082,,0.6,0.2409,0.2519,0.4213,0.2823,,
ACRE,2021-07-30,S2b,2021-08-02,7.69,True,0.362,small,Real Estate,REIT - Mortgage,True,False,True,0.309,5.8,4.2,0.0491,-0.0031,-0.0054,0.0488,-0.1011,-0.1614
ACRE,2025-05-07,S2a,2025-05-08,4.11,True,0.226,micro,Real Estate,REIT - Mortgage,False,False,True,-0.2,,3.4,0.118,-0.0762,0.2087,-0.1117,,
ACRS,2022-11-08,S2b,2022-11-09,16.21,True,1.081,small,Healthcare,Biotechnology,False,False,False,10.464,,45.7,-0.4892,-0.5968,-0.6965,-0.8743,-0.8371,-1.4832
ACRS,2024-08-07,S2b,2024-08-08,1.17,True,0.083,micro,Healthcare,Biotechnology,False,False,True,0.48,,5.1,1.1282,0.9888,0.3932,0.1775,,
ACTG,2021-08-16,S2b,2021-08-17,5.47,True,0.271,micro,Industrials,Business Equipment & Supplies,False,True,True,7.215,,6.1,-0.2596,-0.2505,-0.1572,-0.1317,-0.3199,-0.3327
ACTG,2022-05-12,S2b,2022-05-13,4.47,False,0.209,micro,Industrials,Business Equipment & Supplies,False,True,True,1.328,,5.5,-0.1275,-0.1194,-0.1163,-0.1583,0.1544,-0.1834
