tk,ret,pkr,mul,dd,pass,spy
AAPL,1.301,1.464,-0.065,-0.334,True,0.9032471620661233
GOOG,1.972,2.311,-0.313,-0.446,True,0.9153754763333528
GOOGL,2.046,2.393,-0.303,-0.443,True,0.9153754763333528
AMZN,0.451,0.651,-0.509,-0.561,True,1.100553400725611
AVGO,2.068,2.994,-0.021,-0.411,True,0.4899458221543933
META,0.902,1.444,-0.726,-0.767,True,0.9032471620661233
LLY,1.313,1.388,-0.009,-0.345,False,0.7227313954702346
MU,10.29,12.273,-0.476,-0.576,True,0.9956513441010129
BRK-B,0.73,0.868,-0.086,-0.266,True,0.8023451580849241
BRK-A,0.728,0.862,-0.082,-0.26,True,0.8023451580849241
AMD,5.17,5.627,-0.362,-0.654,True,1.1674176932502456
V,0.479,0.561,-0.273,-0.273,True,0.8083985885793605
JNJ,0.698,0.728,-0.102,-0.184,True,0.8083985885793605
MA,0.392,0.589,-0.261,-0.283,True,0.8083985885793605
AMAT,3.915,4.459,-0.456,-0.551,True,0.9067423416857745
CAT,4.205,4.591,-0.198,-0.34,True,0.8152785838880152
LRCX,5.443,6.136,-0.5,-0.564,True,0.9153754763333528
GE,4.778,4.778,-0.005,-0.214,False,0.9089028022795187
KO,0.646,0.682,-0.077,-0.173,True,0.8068813551466532
HD,0.249,0.489,-0.132,-0.347,True,0.9115290453121392
ARM,1.975,2.874,-0.244,-0.523,False,0.4040468847299692
CVX,0.995,1.52,-0.063,-0.249,False,0.8038550464912124
PLTR,11.649,19.843,-0.047,-0.482,False,0.8882713706238712
MRK,0.613,0.665,-0.094,-0.434,True,0.9068989246256576
GEV,2.155,2.268,0.0,-0.246,False,0.4105910656956988
KLAC,8.025,9.229,-0.139,-0.403,True,0.9158349783405422
PANW,2.912,2.912,-0.254,-0.36,False,0.6940564774065314
TXN,0.861,1.073,-0.184,-0.334,True,0.9153754763333528
RTX,0.555,0.714,-0.098,-0.193,True,0.3030241645919505
AXP,1.137,1.35,-0.209,-0.315,True,0.8113170241498278
ANET,7.115,7.656,-0.039,-0.504,True,0.9077429187656374
MRVL,2.24,2.769,-0.592,-0.619,False,0.751855010293649
APH,4.451,4.581,-0.048,-0.287,True,0.9158349783405422
CRWD,2.587,2.631,-0.56,-0.677,False,0.8918076158487358
WDC,13.152,16.649,-0.462,-0.553,True,0.7012401685308081
MCD,0.27,0.598,-0.045,-0.22,True,0.8152785838880152
TMUS,0.349,1.08,-0.242,-0.371,True,0.9235790984689998
QCOM,0.337,0.845,-0.296,-0.443,True,0.8158989576920381
STX,10.831,13.133,-0.436,-0.57,True,0.7331253058096918
TMO,0.124,0.442,-0.149,-0.41,True,0.8939588917373562
ADI,1.659,2.045,-0.12,-0.322,True,0.9458647482207123
APP,4.494,6.138,-0.91,-0.915,False,0.6999299130160765
SCHW,0.626,0.808,-0.233,-0.497,True,1.0473654159746326
DE,0.861,0.954,-0.187,-0.338,True,0.9067423416857745
DIS,-0.455,0.027,-0.562,-0.573,False,0.7902786905653632
UNP,0.412,0.413,-0.131,-0.318,True,0.8299517463157762
ABT,-0.148,0.265,-0.237,-0.396,True,0.9229778298067113
WELL,0.712,0.712,-0.102,-0.13,False,0.30649578885144946
ETN,1.759,1.916,-0.212,-0.345,True,0.8063489460020139
ISRG,0.24,0.88,-0.436,-0.499,True,0.83378420994853
BX,0.234,0.952,-0.334,-0.493,True,0.8008788571757468
SCCO,2.184,3.066,-0.325,-0.431,True,0.9158349783405422
CB,1.198,1.198,-0.089,-0.193,False,0.9158349783405422
DHR,-0.137,0.281,-0.281,-0.438,True,0.9392095351609058
CRM,-0.357,0.43,-0.503,-0.587,False,0.7366114854109405
PGR,0.965,1.385,-0.002,-0.304,False,0.6935587391237821
PFE,-0.229,0.558,-0.361,-0.59,True,0.9486150673233658
VRTX,1.564,1.661,-0.065,-0.291,True,0.7092571954931832
PLD,0.484,0.648,-0.112,-0.433,True,1.0529199299928114
SPGI,0.201,0.532,-0.24,-0.305,True,0.8957651064345447
COF,0.402,0.752,-0.445,-0.504,True,0.817223650596163
COP,1.177,1.802,-0.067,-0.363,False,0.9077429187656374
SYK,0.226,0.563,-0.289,-0.317,True,0.8158989576920381
VRT,13.936,17.041,-0.607,-0.712,False,1.0588743903614963
FTNT,1.67,1.67,-0.229,-0.383,True,0.8210445108029081
SBUX,-0.051,0.029,-0.42,-0.42,True,0.8151543709828799
BMY,0.105,0.361,-0.288,-0.477,False,0.9032471620661233
NOW,-0.1,0.991,-0.419,-0.645,False,0.8083985885793605
SO,0.429,0.477,-0.193,-0.233,True,0.9348875943452808
NEM,0.794,1.527,-0.451,-0.624,True,0.8299517463157762
PWR,4.917,5.719,-0.075,-0.339,True,0.9068989246256576
MAR,1.779,2.037,-0.058,-0.305,False,0.8063489460020139
MNST,0.971,0.977,-0.266,-0.266,False,0.8023451580849241
UPS,-0.358,0.097,-0.538,-0.579,False,0.9229778298067113
WM,0.656,0.815,-0.028,-0.181,True,0.8151543709828799
MELI,0.061,0.591,-0.627,-0.686,False,1.0588743903614963
DDOG,1.034,1.135,-0.518,-0.681,False,0.8008788571757468
SNOW,-0.236,0.087,-0.682,-0.708,False,0.751855010293649
CSX,0.576,0.576,-0.18,-0.294,True,0.8299517463157762
WMB,2.778,3.092,-0.014,-0.23,True,0.9117117228618064
ABNB,-0.265,0.034,-0.588,-0.602,False,0.6953580442761287
NET,0.996,1.209,-0.693,-0.826,False,0.8008788571757468
FCX,0.541,0.826,-0.394,-0.513,False,0.9229778298067113
ADBE,-0.563,0.424,-0.6,-0.719,True,1.0172029188624094
SNPS,0.57,1.229,-0.099,-0.41,True,0.8228705610717741
BE,11.462,13.888,-0.631,-0.759,False,0.9077429187656374
ACN,-0.646,0.056,-0.664,-0.682,True,0.7029178740509554
DASH,2.625,4.408,-0.101,-0.48,False,1.079143048901234
VLO,3.746,3.746,-0.088,-0.412,False,0.8083985885793605
EPD,1.255,1.457,-0.071,-0.181,True,0.8023451580849241
MPC,4.279,4.326,-0.03,-0.447,False,0.8152785838880152
HLT,1.561,1.7,-0.164,-0.326,False,0.8083985885793605
CVNA,0.197,0.688,-0.987,-0.99,False,1.0979161861708495
RCL,3.486,4.295,-0.552,-0.552,False,0.9068989246256576
AON,-0.066,0.105,-0.162,-0.242,True,0.31265581263209286
AMT,-0.313,0.074,-0.413,-0.453,True,0.8083985885793605
CI,-0.098,0.084,-0.213,-0.274,False,0.3366632132252856
INTU,-0.376,0.872,-0.404,-0.682,True,0.9115290453121392
ALAB,5.014,5.742,-0.006,-0.602,False,0.3459120426413127
NSC,0.384,0.413,-0.246,-0.356,True,0.8158989576920381
PSX,1.942,2.151,-0.091,-0.444,False,0.8063489460020139
NXPI,0.542,0.831,-0.289,-0.465,False,0.914825446507102
KMI,1.512,1.717,-0.056,-0.203,True,0.9184096152561223
APO,1.074,2.058,-0.062,-0.428,False,1.0483914870344244
GM,0.441,0.645,-0.504,-0.59,True,0.8152785838880152
EOG,1.285,1.643,-0.092,-0.334,True,0.8152785838880152
URI,2.213,2.293,-0.083,-0.37,True,0.9189518987282053
APD,0.251,0.327,-0.206,-0.318,True,0.8023451580849241
SLB,0.806,1.327,-0.046,-0.466,False,0.9153754763333528
REGN,0.268,1.419,-0.025,-0.597,True,0.9077429187656374
ROST,0.898,1.151,-0.397,-0.441,True,0.8960696934591954
BSX,-0.017,1.468,-0.196,-0.605,False,0.8008788571757468
PCAR,1.673,1.846,-0.034,-0.277,True,0.8210445108029081
ET,1.889,2.092,-0.14,-0.258,False,0.8939588917373562
MPWR,3.317,4.47,-0.045,-0.516,True,0.9129008781490326
COHR,9.506,11.166,-0.212,-0.548,True,1.0914806255069096
WBD,0.912,1.138,-0.521,-0.579,False,0.9002582425274663
ALL,1.068,1.068,-0.189,-0.273,True,0.9229778298067113
DLR,0.62,0.862,-0.284,-0.485,False,1.0588743903614963
CIEN,8.316,11.631,-0.186,-0.455,True,0.9525434598786133
