ticker,earn_date,sig,entry_date,entry,tier,sector,profitable,lumpy,val_ok,exit_date,exit,open,days,ret,spy,xs,ann_xs
A,2021-09-01,S2b,2021-09-02,171.81,large,Healthcare,True,False,True,2022-03-04,129.55,False,183,-0.246,-0.04,-0.206,-0.3526
AA,2021-05-05,S2a,2021-05-06,37.98,mid,Basic Materials,False,False,True,2022-10-28,37.86,False,540,-0.0031,-0.0515,0.0485,0.0331
AA,2022-07-25,S2b,2022-07-26,44.96,mid,Basic Materials,True,False,True,2022-10-28,37.86,False,94,-0.1578,-0.0007,-0.1572,-0.4843
AA,2024-08-02,S2a,2024-08-05,27.83,mid,Basic Materials,False,False,True,2026-07-01,47.48,True,695,0.7061,0.4755,0.2305,0.0973
AAL,2021-07-22,S2a+S2b,2021-07-23,21.2,large,Industrials,False,False,True,2023-10-20,11.08,False,819,-0.4774,-0.0097,-0.4677,-0.2469
AAOI,2023-05-04,S1,2023-05-05,1.66,nano,Technology,False,False,True,2025-11-07,28.57,False,917,16.2108,0.6802,15.5306,1.8766
AAOI,2024-11-07,S1,2024-11-08,27.76,small,Technology,False,False,True,2025-11-07,28.57,False,364,0.0292,0.1353,-0.1061,-0.1065
AAON,2022-05-05,S2b,2022-05-06,34.02,small,Industrials,True,False,True,2024-05-03,77.74,False,728,1.2852,0.2824,1.0028,0.3809
AAP,2024-11-14,S1,2024-11-15,36.47,mid,Consumer Cyclical,True,True,True,2026-07-01,63.02,True,593,0.728,0.2993,0.4287,0.2256
AAPL,2021-04-29,S1超+S2b,2021-04-30,127.92,mega,Technology,True,False,True,2022-08-01,158.33,False,458,0.2377,0.0016,0.2361,0.1841
AAT,2021-07-30,S2b,2021-08-02,27.99,small,Real Estate,True,False,True,2023-07-31,18.69,False,728,-0.3322,0.0784,-0.4106,-0.222
AAT,2024-08-02,S1,2024-08-05,21.68,small,Real Estate,True,False,False,2025-08-04,17.6,False,364,-0.1882,0.2351,-0.4233,-0.4248
ABCL,2022-05-10,S2a+S2b,2022-05-11,5.72,small,Healthcare,True,True,True,2023-05-05,5.99,False,359,0.0472,0.0684,-0.0212,-0.0216
ABG,2021-04-27,S2b,2021-04-28,204.7,mid,Consumer Cyclical,True,False,True,2023-05-01,198.33,False,733,-0.0311,0.0257,-0.0568,-0.0283
ABG,2022-05-04,S1超+S2b,2022-05-05,190.02,mid,Consumer Cyclical,True,False,True,2023-05-01,198.33,False,361,0.0437,0.0211,0.0226,0.0229
ABM,2022-03-09,S2b,2022-03-10,41.85,mid,Industrials,True,True,True,2023-03-09,42.71,False,364,0.0206,-0.0648,0.0854,0.0856
ABNB,2021-11-05,S2a,2021-11-08,200.32,large,Consumer Cyclical,False,True,False,2022-05-10,116.13,False,183,-0.4203,-0.1433,-0.277,-0.3976
ABSI,2022-08-11,S2b,2022-08-12,4.78,small,Healthcare,False,False,False,2023-11-15,1.4,False,460,-0.7071,0.0738,-0.7809,-0.681
ABSI,2023-08-14,S2b,2023-08-15,1.64,micro,Healthcare,False,False,False,2023-11-15,1.4,False,92,-0.1463,0.0189,-0.1653,-0.5436
ABSI,2024-11-12,S2b,2024-11-13,3.14,small,Healthcare,False,False,False,2026-07-01,11.11,True,595,2.5382,0.2744,2.2638,1.0116
ABT,2021-05-05,S2b,2021-05-06,108.14,large,Healthcare,True,False,True,2022-05-04,106.93,False,363,-0.0112,0.0373,-0.0485,-0.0488
ABUS,2021-05-05,S2b,2021-05-06,2.8,micro,Healthcare,False,False,False,2023-05-05,2.6,False,729,-0.0714,0.0145,-0.0859,-0.0437
ABUS,2022-05-05,S2b,2022-05-06,2.53,small,Healthcare,False,False,False,2023-05-05,2.6,False,364,0.0277,0.0201,0.0075,0.0076
ACAD,2023-08-03,S2a,2023-08-04,27.19,mid,Healthcare,False,False,True,2023-11-06,23.98,False,94,-0.1181,-0.0214,-0.0966,-0.3054
ACCO,2021-07-30,S2b,2021-08-02,6.54,small,Industrials,True,True,True,2022-04-28,5.8,False,269,-0.1135,-0.0127,-0.1008,-0.1337
ACCO,2023-08-09,S1+S2a,2023-08-10,4.59,small,Industrials,False,True,True,2024-05-06,4.21,False,270,-0.0832,0.1709,-0.2541,-0.3488
ACDC,2022-11-14,S2b,2022-11-15,24.6,small,Energy,False,False,True,2023-03-31,12.67,False,136,-0.485,0.036,-0.521,-0.9314
ACGL,2021-05-06,S2b,2021-05-07,38.79,large,Financial,True,False,True,2021-08-06,38.59,False,91,-0.0052,0.0517,-0.0569,-0.245
ACGL,2023-05-04,S2b,2023-05-05,71.14,large,Financial,True,False,True,2025-11-07,89.57,False,917,0.2591,0.6802,-0.4211,-0.1335
ACGL,2024-08-06,S2b,2024-08-07,92.05,large,Financial,True,False,True,2025-11-07,89.57,False,457,-0.0269,0.3134,-0.3403,-0.265
ACH,2021-08-03,S2b,2021-08-04,38.99,mid,Healthcare,True,False,True,2021-11-04,45.81,False,92,0.1748,0.067,0.1078,0.6021
ACIC,2023-08-21,S2a+S2b,2023-08-22,6.54,micro,Financial,True,False,True,2026-07-01,11.38,True,1044,0.7401,0.7667,-0.0267,-0.0065
ACIC,2024-11-12,S2b,2024-11-13,11.93,small,Financial,True,False,True,2025-05-09,10.5,False,177,-0.1201,-0.049,-0.0711,-0.1336
ACIW,2024-08-01,S2a,2024-08-02,44.86,mid,Technology,True,True,False,2026-07-01,52.53,True,698,0.171,0.4326,-0.2616,-0.1209
ACLS,2021-11-05,S2b,2021-11-08,61.85,mid,Technology,False,False,True,2024-05-03,111.45,False,907,0.8019,0.1323,0.6696,0.2163
ACLS,2023-11-02,S2b,2023-11-03,131.11,mid,Technology,False,False,True,2024-05-03,111.45,False,182,-0.15,0.1847,-0.3346,-0.6833
ACMR,2021-05-07,S2b,2021-05-10,22.39,small,Technology,True,False,True,2022-05-10,12.39,False,365,-0.4466,-0.0325,-0.4141,-0.4143
ACMR,2022-05-09,S1,2022-05-10,12.39,small,Technology,True,False,True,2022-08-10,19.62,False,92,0.5835,0.0569,0.5266,4.9564
ACMR,2023-05-09,S1超,2023-05-10,9.45,small,Technology,True,False,True,2023-08-08,13.6,False,90,0.4392,0.091,0.3482,2.9578
ACMR,2024-05-08,S2b,2024-05-09,25.29,small,Technology,True,False,True,2025-05-13,25.14,False,369,-0.0059,0.1425,-0.1485,-0.1469
ACN,2021-12-16,S2b,2021-12-17,370.24,mega,Technology,True,False,True,2022-10-13,243.85,False,300,-0.3414,-0.195,-0.1464,-0.1665
ACNT,2021-05-10,S1+S2a,2021-05-11,9.5,micro,Basic Materials,False,False,True,2023-05-10,9.49,False,729,-0.0011,0.0269,-0.028,-0.0139
ACNT,2022-05-10,S2b,2022-05-11,16.16,micro,Basic Materials,True,False,True,2023-05-10,9.49,False,364,-0.4127,0.069,-0.4817,-0.4831
ACNT,2023-11-08,S1,2023-11-09,8.39,micro,Basic Materials,False,False,True,2024-04-02,10.9,False,145,0.2992,0.2045,0.0947,0.3355
ACNT,2024-11-12,S1,2024-11-13,9.59,micro,Basic Materials,False,False,True,2026-05-07,13.39,False,540,0.3962,0.247,0.1493,0.0923
ACRE,2021-07-30,S2b,2021-08-02,7.69,small,Real Estate,True,False,True,2022-05-04,8.85,False,275,0.1505,-0.0098,0.1603,0.2176
ACRE,2025-05-07,S2a,2025-05-08,4.11,micro,Real Estate,False,False,True,2025-08-06,3.64,False,90,-0.1137,0.1232,-0.2368,-0.9893
ACRS,2022-11-08,S2b,2022-11-09,16.21,small,Healthcare,False,False,False,2023-11-07,5.42,False,363,-0.6656,0.1862,-0.8519,-0.8554
ACRS,2024-08-07,S2b,2024-08-08,1.17,micro,Healthcare,False,False,True,2024-11-07,2.45,False,91,1.094,0.1259,0.9682,17.8143
ACTG,2021-08-16,S2b,2021-08-17,5.47,micro,Industrials,False,True,True,2021-11-16,5.8,False,91,0.0603,0.0602,0.0001,0.0005
ACTG,2022-11-14,S2b,2022-11-15,3.94,micro,Industrials,False,True,True,2023-05-12,3.95,False,178,0.0025,0.0416,-0.039,-0.082
ACTG,2024-05-10,S2b,2024-05-13,5.16,small,Industrials,False,True,True,2026-05-08,4.66,False,725,-0.0969,0.4505,-0.5474,-0.2561
ACU,2021-08-06,S1,2021-08-09,36.7,micro,Consumer Defensive,True,False,False,2021-11-10,34.08,False,93,-0.0713,0.052,-0.1233,-0.4723
ACU,2022-08-08,S2b,2022-08-09,25.51,micro,Consumer Defensive,True,False,True,2022-11-10,23.05,False,93,-0.0965,-0.0366,-0.0599,-0.1925
ACU,2023-08-08,S1,2023-08-09,33.86,micro,Consumer Defensive,True,False,True,2026-07-01,48.44,True,1057,0.4306,0.7366,-0.306,-0.0784
ADBE,2021-01-15,S1,2021-01-19,456.5,mega,Technology,True,False,True,2021-09-30,575.72,False,254,0.2612,0.1444,0.1167,0.182
ADC,2021-05-03,S2b,2021-05-04,56.94,mid,Real Estate,True,False,True,2024-10-23,71.27,False,1268,0.2517,0.4628,-0.2111,-0.049
ADC,2022-08-02,S2b,2022-08-03,64.19,mid,Real Estate,True,False,True,2024-10-23,71.27,False,812,0.1103,0.4416,-0.3313,-0.1306
ADCT,2024-11-07,S2b,2024-11-08,2.93,micro,Healthcare,False,False,True,2025-05-15,1.69,False,188,-0.4232,-0.0066,-0.4166,-0.6439
ADEA,2021-05-05,S2a,2021-05-06,7.92,small,Technology,False,True,True,2021-08-09,8.19,False,95,0.0338,0.0585,-0.0246,-0.1077
ADEA,2022-05-09,S2a,2022-05-10,6.15,small,Technology,False,True,True,2022-08-09,6.47,False,91,0.0525,0.0352,0.0173,0.0789
ADI,2021-02-17,S1,2021-02-18,144.42,large,Technology,True,False,True,2022-02-17,149.0,False,364,0.0317,0.1335,-0.1018,-0.1022
ADI,2022-05-18,S2b,2022-05-19,150.2,large,Technology,True,False,True,2023-05-25,163.9,False,371,0.0912,0.0827,0.0085,0.0083
ADI,2025-02-19,S1,2025-02-20,239.12,large,Technology,True,False,False,2026-07-01,388.98,True,496,0.6267,0.2427,0.384,0.2574
ADM,2021-04-28,S2b,2021-04-29,54.9,large,Consumer Defensive,True,False,True,2023-04-26,69.34,False,727,0.2629,-0.0082,0.2711,0.1286
