ticker,sig,pass,profitable,lumpy,val_ok,pe,peg,ps,rev_yoy,mcap_b,latest_filed,cik
NVDA,S1超+S2b,True,True,False,True,36.6,0.9,454.4,41.0,4960.9,2022-03-18,1045810
AVGO,S1超+S2b,False,True,False,False,618.1,12.91,25.5,48.0,1849.4,2026-06-09,1730168
MU,S1超+S2b,True,True,False,True,21.8,0.06,12.1,346.0,1071.2,2026-06-25,723125
PLTR,S1超+S2b,True,True,False,True,168.0,1.98,67.4,85.0,316.9,2026-05-05,1321655
SNDK,S1超+S2b,True,True,False,True,98.4,0.39,19.7,251.0,255.6,2026-05-01,2023554
WDC,S1超+S2b,True,True,False,True,29.2,0.64,16.1,45.0,189.9,2026-05-01,106040
BE,S1超+S2b,False,False,False,True,,,,134.0,,2026-04-29,1664703
ALAB,S1超,True,True,False,True,264.6,2.83,75.6,93.0,67.3,2026-05-06,1736297
RKLB,S1超+S2b,False,False,False,False,,,77.1,63.0,48.0,2026-05-07,1819994
CRDO,S1超,True,True,False,True,144.2,0.72,46.4,201.0,48.0,2026-06-15,1807794
SITM,S1超+S2b,False,False,False,False,,,49.4,88.0,16.2,2026-05-07,1451809
AGX,S1超+S2b,True,True,False,True,69.3,1.38,9.6,50.0,9.3,2026-06-04,100591
MXL,S1超,False,False,False,False,,,16.4,43.0,7.7,2026-04-23,1288469
LASR,S1超+S2a+S2b,False,False,False,True,,,12.7,55.0,3.3,2026-05-08,1124796
SEDG,S1超,False,False,False,True,,,2.7,41.0,3.2,2026-05-07,1419612
ESTA,S1超+S2b,False,False,False,True,,,12.5,45.0,2.6,2026-05-08,1688757
CRWD,S2a+S2b,False,False,False,True,,,,26.0,,2026-06-04,1535527
RKT,S2a,True,True,False,False,249.8,,,,40.3,,1805284
ALNY,S2a+S2b,False,True,False,False,778.8,5.21,13.7,149.0,42.8,2026-02-12,1178670
MDB,S2a+S2b,False,False,False,True,,,11.8,25.0,28.9,2026-05-29,1441816
SYM,S2a,False,False,False,True,,,10.3,23.0,25.1,2026-05-06,1837240
FTAI,S2a+S2b,False,True,False,False,1175.7,17.96,8.3,65.0,22.2,2026-05-01,1590364
DKNG,S2a,False,False,True,True,,,2.4,17.0,13.9,2026-05-08,1883685
IOT,S2a+S2b,False,True,False,False,1603.7,52.55,13.0,31.0,21.4,2026-06-09,1642896
IP,S2a,False,False,True,True,,,0.9,13.0,23.0,2026-05-05,51434
DD,S2a,False,False,True,True,,,14.5,4.0,100.6,2026-05-05,1666700
IONQ,S2a+S2b,False,False,False,False,,,126.7,755.0,16.8,2026-05-07,1824920
EQH,S2a,False,False,True,True,,,1.0,-8.0,12.9,2026-05-07,1333986
SMTC,S2a,True,True,True,False,750.8,47.17,11.2,16.0,12.0,2026-05-27,88941
VSAT,S2a,False,False,False,True,,,2.2,3.0,10.1,2026-05-29,797721
ALGM,S2a+S2b,False,False,False,True,,,11.4,29.0,9.5,2026-05-21,866291
COMP,S2a+S2b,False,True,True,False,1456.3,14.65,1.1,99.0,8.4,2026-05-08,1563190
OSCR,S2a,True,True,True,True,17.3,0.54,400.8,32.0,10.2,2026-05-07,1568651
ARE,S2a,True,True,False,False,632.2,,2.8,-11.0,8.2,2026-04-27,1035443
PTGX,S2a,False,False,False,True,,,,,9.0,2017-11-07,1377121
CHYM,S2a,False,False,True,True,,,,25.0,,2026-05-07,1795586
LQDA,S2a+S2b,False,False,False,False,,,35.2,4158.0,7.0,2026-05-11,1819576
VSXY,S2a,True,True,True,False,242.0,15.82,1.0,15.0,6.0,2026-06-05,1856437
FLG,S2a,False,False,False,False,,,263.5,-17.0,6.1,2023-03-01,910073
ESTC,S2a,False,False,False,True,,,3.8,18.0,6.3,2026-06-08,1707753
RGTI,S2a,False,False,True,False,,,608.3,5.0,5.6,2023-05-11,1838359
PBF,S2a,False,False,False,True,,,0.2,12.0,6.4,2026-04-30,1534504
PRM,S2a+S2b,False,True,True,False,810.5,11.01,8.2,74.0,5.5,2026-05-06,1880319
RIG,S2a,False,False,False,True,,,1.4,19.0,5.8,2026-05-05,1451505
SPHR,S2a+S2b,False,False,True,True,,,4.5,38.0,5.4,2026-05-05,1795250
STUB,S2a,False,False,False,True,,,,,4.8,2026-05-14,1337634
KVYO,S2a,False,False,False,True,,,4.1,28.0,5.1,2026-05-05,1835830
HRB,S2a,True,True,True,True,4.3,0.81,1.0,5.0,5.0,2026-05-06,12659
TENB,S2a,False,False,False,True,,,4.6,10.0,4.6,2026-05-05,1660280
ONDS,S2a+S2b,True,True,False,True,10.7,0.01,49.9,1080.0,3.5,2026-05-15,1646188
BILL,S2a,False,False,False,True,,,2.6,13.0,4.0,2026-05-08,1786352
ICUI,S2a,True,True,True,False,81.5,,1.7,-12.0,3.8,2026-05-07,883984
SMG,S2a,True,True,True,True,14.5,2.89,0.9,5.0,3.8,2026-05-06,825542
BWIN,S2a+S2b,False,False,True,True,,,1.6,29.0,2.6,2026-05-04,1781755
LBTYK,S2a,False,False,False,True,,,0.7,9.0,3.6,2026-05-01,1570585
LBTYA,S2a,False,False,False,True,,,0.8,9.0,3.7,2026-05-01,1570585
UWMC,S2a+S2b,True,True,True,True,97.6,2.08,1.0,47.0,3.2,2026-05-11,1783398
ALGT,S2a,False,False,True,True,,,0.8,9.0,2.0,2026-05-06,1362468
WK,S2a,False,False,False,True,,,3.4,20.0,3.0,2026-05-05,1445305
PK,S2a,False,False,False,True,,,1.1,-1.0,2.8,2026-05-01,1617406
UNFI,S2a,True,True,False,False,68.2,,0.1,-4.0,2.9,2026-06-09,1020859
MPT,S2a,False,False,False,True,,,2.8,13.0,2.7,2026-05-08,1287865
CLOV,S2a+S2b,False,False,False,True,,,1.1,62.0,2.5,2026-05-08,1801170
PTON,S2a,False,False,True,True,,,1.2,1.0,3.0,2026-05-07,1639825
CALX,S2a,True,True,False,False,111.2,4.1,2.4,27.0,2.4,2026-04-22,1406666
XIFR,S2a,False,False,True,True,,,1.0,-2.0,1.2,2026-05-07,1603145
NWN,S2a,True,True,True,True,13.7,,1.5,-1.0,2.1,2026-05-06,1733998
SRPT,S2a,True,True,True,True,32.8,,1.2,-46.0,2.1,2026-05-06,873303
META,S2b,True,True,False,True,24.0,0.73,7.8,33.0,1546.4,2026-04-30,1326801
LLY,S2b,True,True,False,True,50.9,0.92,16.6,56.0,1089.3,2026-04-30,59478
AMD,S2b,False,True,False,False,200.5,5.3,24.4,38.0,843.4,2026-05-06,2488
PANW,S2b,False,True,False,False,306.3,9.83,25.2,31.0,260.6,2026-06-03,1327567
DELL,S2b,True,True,False,True,39.4,0.45,2.3,88.0,280.3,2026-06-09,1571996
ANET,S2b,True,True,False,True,63.7,1.81,24.7,35.0,228.0,2026-05-06,1596532
APH,S2b,True,True,False,True,48.4,0.83,8.0,58.0,194.1,2026-05-01,820313
STX,S2b,True,True,False,True,86.5,1.96,18.0,44.0,193.0,2026-04-29,1137789
ADI,S2b,True,True,False,True,60.6,1.63,15.3,37.0,187.7,2026-05-20,6281
BLK,S2b,True,True,False,True,23.2,0.86,6.4,27.0,153.9,2026-05-06,2012383
WELL,S2b,False,True,False,False,675.7,13.75,19.0,49.0,164.8,2026-04-29,766704
SCCO,S2b,True,True,False,True,55.4,1.53,10.0,36.0,137.4,2026-04-30,1001838
CVS,S2b,True,True,True,True,75.2,2.06,0.6,37.0,133.0,2019-11-06,64803
COF,S2b,True,True,True,True,47.4,0.77,14.7,62.0,118.2,2026-05-07,927628
VRT,S2b,False,True,False,False,95.5,3.17,12.2,30.0,122.0,2026-04-22,1674101
NEM,S2b,True,True,False,True,11.2,0.24,4.4,46.0,101.5,2026-04-23,1164727
PWR,S2b,False,True,False,False,107.1,4.07,3.5,26.0,100.0,2026-04-30,1050915
MNST,S2b,True,False,False,True,,,10.9,27.0,93.0,2026-05-08,865752
MELI,S2b,True,True,False,True,49.5,1.11,4.5,45.0,91.7,2026-05-08,1099590
DDOG,S2b,True,True,False,True,,,,32.0,,2026-05-07,1561550
SNOW,S2b,False,False,False,False,,,18.9,33.0,90.6,2026-05-29,1640147
NET,S2b,False,False,False,False,,,44.0,34.0,96.4,2026-05-08,1477333
KKR,S2b,True,True,False,True,50.9,1.44,47.3,35.0,83.0,2021-02-19,1404912
DASH,S2b,True,True,False,True,92.4,2.79,6.1,33.0,83.8,2026-05-06,1792789
ET,S2b,True,True,False,True,14.4,0.45,0.8,32.0,68.3,2026-05-07,1276187
MPWR,S2b,False,True,False,False,100.5,3.85,22.7,26.0,64.6,2026-05-04,1280452
AJG,S2b,True,True,False,True,30.5,1.1,4.4,28.0,65.9,2026-05-07,354190
CIEN,S2b,False,True,False,False,146.0,3.69,11.7,40.0,62.4,2026-06-04,936395
HPE,S2b,False,True,False,False,178.6,4.46,1.6,40.0,59.1,2026-06-02,1645590
KEYS,S2b,True,True,False,True,50.3,1.6,9.1,31.0,54.2,2026-06-04,1601046
AXON,S2b,False,True,True,False,165.9,4.92,17.3,34.0,48.3,2026-05-07,1069183
HEI,S2b,True,True,False,True,25.3,1.0,4.0,25.0,19.2,2026-05-29,46619
NTRA,S2b,False,False,False,False,,,16.8,39.0,39.2,2026-05-08,1604821
CLS,S2b,True,True,False,True,53.3,1.01,3.2,53.0,41.5,2026-04-27,1030894
RDDT,S2b,True,True,False,True,82.0,1.19,18.5,69.0,39.6,2026-05-01,1713445
WAT,S2b,True,True,False,True,104.7,1.14,9.5,91.0,36.1,2026-05-12,1000697
TKO,S2b,False,True,True,False,165.9,6.42,7.4,26.0,37.5,2026-05-06,1973266
HBAN,S2b,True,True,False,True,16.0,0.46,21.8,34.0,35.4,2026-04-30,49196
MRNA,S2b,False,False,False,False,,,17.7,260.0,29.3,2026-05-01,1682852
MTZ,S2b,True,True,False,True,96.4,2.8,2.2,34.0,30.6,2026-04-30,15615
FICO,S2b,True,True,False,True,38.4,0.99,13.2,39.0,29.5,2026-04-28,814547
P,S2b,False,True,False,False,167.5,4.75,5.1,35.0,18.8,2026-06-05,1474432
NVT,S2b,True,True,False,True,34.6,0.65,6.2,53.0,25.4,2026-05-01,1720635
FWONA,S2b,True,True,False,True,107.6,1.82,6.3,59.0,30.0,2026-05-07,1560385
FWONK,S2b,True,True,False,True,116.5,1.97,6.9,59.0,32.5,2026-05-07,1560385
INSM,S2b,False,False,False,False,,,38.9,230.0,25.2,2026-05-07,1104506
OMC,S2b,True,True,False,True,19.1,0.28,1.4,69.0,24.6,2026-04-29,29989
GH,S2b,False,False,False,False,,,20.5,48.0,20.5,2026-05-07,1576280
STRL,S2b,True,True,False,True,67.9,0.74,7.9,92.0,20.3,2026-05-05,874238
TEAM,S2b,True,False,False,True,,,3.6,32.0,22.3,2026-05-01,1650372
FIS,S2b,True,True,False,True,7.9,0.26,1.8,30.0,21.1,2026-05-08,1136893
GPN,S2b,True,False,False,True,,,2.3,63.0,20.0,2026-05-08,1123360
BG,S2b,True,True,False,True,33.0,1.21,1.3,27.0,22.6,2026-04-29,1996862
AMCR,S2b,True,True,False,True,0.0,0.0,0.0,77.0,0.0,2026-05-07,1748790
DKS,S2b,True,True,False,True,19.4,0.31,1.2,63.0,20.2,2026-06-04,1089063
SNX,S2b,True,True,False,True,8.3,0.27,0.1,31.0,8.9,2026-07-02,1177394
LSCC,S2b,False,True,False,False,557.0,13.19,33.1,42.0,18.1,2026-05-04,855658
BWXT,S2b,True,True,False,True,49.1,1.88,5.0,26.0,16.9,2026-05-04,1486957
FN,S2b,True,True,False,True,41.4,1.05,4.1,39.0,17.2,2026-05-05,1408710
CDE,S2b,True,True,False,True,25.5,0.19,7.0,138.0,15.8,2026-05-06,215466
NBIX,S2b,True,True,False,True,34.3,0.81,6.2,42.0,17.9,2026-05-05,914475
AMKR,S2b,True,True,False,True,58.1,2.11,2.5,27.0,16.6,2026-04-28,1047127
TLN,S2b,True,True,True,True,53.5,0.38,5.0,140.0,16.7,2026-05-05,1622536
RGLD,S2b,True,True,False,True,24.9,0.17,14.5,143.0,16.3,2026-05-07,85535
ITT,S2b,True,True,False,True,38.1,1.17,4.0,33.0,16.6,2026-05-06,216228
MEDP,S2b,True,True,False,True,34.5,1.3,6.0,27.0,15.2,2026-04-23,1668397
GEN,S2b,True,True,False,True,24.9,0.97,3.3,26.0,15.4,2026-05-21,849399
ALB,S2b,True,True,True,True,68.5,2.1,3.0,33.0,15.3,2026-05-06,915913
TTMI,S2b,True,True,False,True,85.4,2.81,5.1,30.0,15.1,2026-05-01,1116942
DOC,S2b,True,True,True,True,100.2,2.9,23.3,35.0,15.1,2026-05-06,765880
SUN,S2b,True,True,False,True,,,,106.0,,2026-05-07,1552275
EVR,S2b,True,True,False,True,20.1,0.2,3.5,100.0,13.9,2026-05-06,1360901
IONS,S2b,True,False,False,True,,,14.2,87.0,14.0,2026-04-29,874015
DY,S2b,True,True,False,True,36.0,0.64,2.1,56.0,12.8,2026-05-28,67215
MOD,S2b,False,True,False,False,142.1,4.66,4.5,31.0,12.7,2026-05-27,67347
FROG,S2b,False,False,False,False,,,20.8,26.0,11.2,2026-05-08,1800667
AEIS,S2b,False,True,True,False,224.1,8.52,6.1,26.0,11.2,2026-05-04,927003
HUT,S2b,False,False,True,False,,,54.9,226.0,11.9,2026-05-06,1964789
SANM,S2b,True,True,False,True,40.6,0.4,1.0,102.0,11.2,2026-04-27,897723
GWRE,S2b,True,False,False,True,,,8.5,27.0,11.5,2026-06-05,1528396
BROS,S2b,False,True,False,False,134.3,4.36,6.0,31.0,10.0,2026-05-06,1866581
JEF,S2b,True,True,False,True,12.1,0.45,2.0,27.0,10.5,2026-04-07,96223
FIG,S2b,True,False,False,True,,,10.5,46.0,11.3,2026-05-14,1579878
KRYS,S2b,True,True,False,True,52.8,1.65,27.7,32.0,11.1,2026-05-04,1711279
HL,S2b,True,True,False,True,47.7,0.67,13.7,71.0,8.0,2017-02-23,719413
PL,S2b,False,False,False,False,,,22.9,42.0,7.2,2026-06-05,1836833
GMED,S2b,True,True,False,True,14.3,0.53,2.6,27.0,7.4,2026-05-07,1237831
AR,S2b,True,True,False,True,9.2,0.21,1.8,44.0,10.7,2026-04-29,1433270
CYTK,S2b,False,False,False,False,,,116.4,1126.0,10.4,2026-05-05,1061983
VIAV,S2b,True,False,True,True,,,7.0,43.0,9.5,2026-04-30,912093
ESI,S2b,True,True,False,True,46.7,1.13,4.1,41.0,11.2,2026-04-29,1590714
ARW,S2b,True,True,False,True,36.3,0.93,0.7,39.0,22.2,2026-05-07,7536
FCFS,S2b,True,True,False,True,28.4,1.12,5.8,25.0,9.5,2026-04-24,840489
FIVE,S2b,True,True,False,True,41.1,1.26,2.3,32.0,10.0,2026-06-04,1177609
ALSN,S2b,True,True,False,True,31.9,0.38,5.5,84.0,20.3,2026-05-07,1411207
HALO,S2b,True,True,False,True,15.7,0.37,7.2,42.0,9.5,2026-05-11,1159036
KYMR,S2b,False,False,False,False,,,132.7,55.0,9.4,2026-04-30,1815442
MP,S2b,False,False,False,False,,,35.9,49.0,9.4,2026-05-08,1801368
FORM,S2b,False,True,False,False,168.8,5.28,10.9,32.0,8.7,2026-05-05,1039399
ALKS,S2b,True,True,False,True,71.8,2.55,6.1,28.0,9.0,2026-05-05,1520262
WAL,S2b,True,True,False,True,9.2,0.05,57.4,192.0,7.9,2026-05-11,1212545
AAON,S2b,True,True,False,True,76.6,1.41,5.8,54.0,8.8,2026-05-07,824142
RRC,S2b,True,True,False,True,10.7,0.41,2.7,26.0,8.8,2026-04-21,315852
GKOS,S2b,False,False,False,False,,,17.3,41.0,8.9,2026-04-30,1192448
MBLY,S2b,True,False,False,True,,,0.4,27.0,0.9,2026-04-23,1910139
FSS,S2b,True,True,False,True,28.3,0.81,3.3,35.0,7.3,2026-04-29,277509
TEX,S2b,True,True,False,True,89.5,2.18,1.1,41.0,6.2,2026-05-01,97216
RYTM,S2b,False,False,False,False,,,40.7,84.0,7.8,2026-05-05,1649904
LOAR,S2b,True,True,False,True,95.5,2.64,13.0,36.0,6.8,2026-05-07,2000178
ENS,S2b,True,True,False,True,22.0,0.82,34.8,27.0,7.3,2020-06-01,1289308
RSI,S2b,False,True,False,False,180.6,4.39,5.7,41.0,6.7,2026-04-29,1793659
CORZ,S2b,False,False,False,False,,,21.0,45.0,7.4,2026-05-06,1839341
KRMN,S2b,False,True,False,False,379.5,7.44,13.6,51.0,6.6,2026-05-14,2040127
ACMR,S2b,True,True,False,True,66.2,1.94,7.7,34.0,6.8,2026-05-08,1680062
AVT,S2b,True,True,False,True,23.3,0.69,0.3,34.0,6.9,2026-05-01,8858
BB,S2b,False,True,False,False,174.3,6.8,11.9,26.0,6.5,2026-06-25,1070235
CAMT,S2b,True,True,False,True,173.0,2.1,37.9,82.0,6.4,2026-03-19,1109138
RYN,S2b,True,True,True,True,14.5,0.06,9.9,235.0,6.3,2026-05-08,52827
GVA,S2b,True,True,True,True,63.2,2.08,1.5,30.0,6.3,2026-04-30,861459
SSRM,S2b,True,True,False,True,56.6,0.43,5.2,131.0,6.1,2026-02-17,921638
SM,S2b,True,True,False,True,34.2,0.46,1.8,75.0,7.0,2026-05-07,893538
GATX,S2b,True,True,False,True,19.1,0.5,3.3,38.0,6.2,2026-05-07,40211
CHRD,S2b,True,True,True,True,100.1,2.7,1.3,37.0,6.9,2026-05-07,1486159
KLIC,S2b,True,False,False,True,,,7.2,50.0,5.5,2026-05-07,56978
LMND,S2b,True,False,False,True,,,7.1,71.0,5.5,2026-04-30,1691421
CRSP,S2b,False,False,False,False,,,1390.4,69.0,5.7,2026-05-04,1674416
TFX,S2b,True,False,False,True,,,2.7,32.0,5.8,2026-05-07,96943
AX,S2b,True,True,False,True,11.6,0.15,175.9,79.0,5.4,2025-08-21,1299709
VCTR,S2b,True,True,False,True,16.8,0.22,4.2,77.0,5.5,2026-05-07,1570827
MTRN,S2b,True,True,False,True,59.5,1.93,2.8,31.0,5.2,2026-04-29,1104657
ZETA,S2b,True,False,False,True,,,4.0,50.0,5.2,2026-05-01,1851003
BGC,S2b,True,True,False,True,22.6,0.46,2.0,49.0,5.1,2026-05-11,1094831
STEP,S2b,True,False,False,True,,,1.9,73.0,3.4,2026-05-27,1796022
XMTR,S2b,True,False,False,True,,,,36.0,,2026-05-07,1657573
RITM,S2b,True,True,False,True,7.0,0.16,1.3,44.0,5.0,2024-08-12,1556593
RELY,S2b,True,True,False,True,64.1,2.54,3.0,25.0,4.9,2026-05-06,1782170
VAL,S2b,True,True,True,True,21.6,0.01,464.1,1775.0,5.4,2026-05-05,314808
RDN,S2b,True,True,False,True,9.0,0.15,3.7,58.0,5.1,2026-05-08,890926
ALHC,S2b,False,True,False,False,190.8,7.61,2.4,25.0,4.1,2024-02-27,1832466
SBRA,S2b,True,True,False,True,29.8,0.59,13.8,51.0,5.1,2026-04-29,1492298
GBTG,S2b,False,True,False,False,180.3,5.11,1.8,35.0,4.9,2026-05-11,1820872
HASI,S2b,True,True,False,True,28.7,1.02,11.7,28.0,4.8,2026-05-08,1561894
KTB,S2b,True,True,False,True,18.9,0.42,1.8,45.0,4.7,2026-05-14,1760965
FLY,S2b,False,False,False,False,,,22.6,45.0,4.1,2026-05-04,1860160
LIF,S2b,False,True,False,False,181.2,4.75,8.9,38.0,4.3,2026-05-11,1581760
HCC,S2b,True,True,False,True,38.7,0.73,3.0,53.0,4.1,2026-04-30,1691303
MIR,S2b,True,True,False,True,38.1,1.38,0.3,28.0,0.3,2026-04-29,1809987
INSW,S2b,True,True,False,True,9.3,0.12,4.8,77.0,4.4,2026-05-07,1679049
AXTI,S2b,False,False,False,False,,,36.2,39.0,3.3,2026-05-14,1051627
LUNR,S2b,True,False,False,True,,,7.2,194.0,2.5,2026-05-15,1844452
FOUR,S2b,True,True,False,True,42.1,1.31,1.0,32.0,4.0,2026-05-07,1794669
WHD,S2b,True,True,False,True,25.3,0.66,3.3,39.0,4.0,2026-05-08,1699136
FG,S2b,True,True,False,True,9.9,0.32,0.7,31.0,3.8,2026-05-07,1934850
USAC,S2b,True,True,False,True,32.1,0.92,3.6,35.0,3.9,2026-05-07,1522727
NHI,S2b,True,True,False,True,25.7,0.15,42.9,166.0,3.7,2026-05-04,877860
BEAM,S2b,False,False,False,False,,,66.0,325.0,3.8,2026-05-07,1745999
PENG,S2b,True,True,False,True,44.6,0.94,2.7,48.0,4.0,2026-07-07,1616533
BATRK,S2b,True,False,True,True,,,4.5,53.0,3.3,2026-05-11,1958140
BATRA,S2b,True,False,True,True,,,4.9,53.0,3.7,2026-05-11,1958140
OUST,S2b,False,False,False,False,,,17.7,49.0,2.8,2026-05-05,1816581
KN,S2b,True,True,False,True,91.1,2.86,4.6,32.0,3.0,2024-10-29,1587523
RUN,S2b,True,True,False,True,5.5,0.13,1.1,43.0,2.8,2026-05-06,1469367
CXW,S2b,True,True,False,True,23.7,0.92,1.4,26.0,3.0,2026-05-07,1070985
HNI,S2b,True,True,False,True,42.7,0.34,0.8,125.0,2.8,2026-05-06,48287
GPOR,S2b,True,True,False,True,6.4,0.05,2.0,122.0,2.9,2026-05-06,874499
DBRG,S2b,True,True,False,True,30.7,0.52,25.1,59.0,3.0,2026-04-28,1679688
GRAL,S2b,False,False,False,False,,,20.0,28.0,2.9,2026-05-07,1699031
KALU,S2b,True,True,False,True,18.8,0.44,0.8,42.0,2.8,2026-04-23,811596
GRND,S2b,True,True,False,True,28.0,0.73,6.4,38.0,2.8,2026-05-08,1820144
AAMI,S2b,True,True,False,True,39.8,1.01,5.0,39.0,2.8,2026-05-07,1748824
NESR,S2b,True,True,False,True,40.8,1.22,2.1,33.0,2.7,2026-05-11,1698514
CTRI,S2b,True,False,True,True,,,0.9,31.0,2.7,2026-05-06,1981599
NMRK,S2b,True,True,False,True,54.3,1.87,1.5,29.0,3.9,2026-05-08,1690680
SUPN,S2b,True,False,True,True,,,4.1,39.0,2.9,2026-05-05,1356576
BRZE,S2b,True,False,False,True,,,0.7,30.0,0.5,2026-05-28,1676238
RDW,S2b,True,False,False,True,,,6.5,58.0,2.1,2026-05-07,1819810
AVPT,S2b,True,True,False,True,77.0,2.96,6.3,26.0,2.6,2026-05-07,1777921
TMDX,S2b,True,True,False,True,26.4,0.08,36.8,349.0,2.4,2022-11-04,1756262
AXGN,S2b,True,False,True,True,,,10.0,27.0,2.3,2026-04-28,805928
ABCL,S2b,False,False,False,False,,,55.9,96.0,2.2,2026-05-11,1703057
SLDE,S2b,True,True,False,True,5.8,0.15,2.0,38.0,2.4,2026-04-30,1886428
