ticker,company,icb_industry,icb_subsector,date_added
AAPL,Apple Inc.,Technology,Computer Hardware,
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,2021-12-20
ADBE,Adobe Inc.,Technology,Software,
ADI,Analog Devices,Technology,Semiconductors,2012-12-24
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,2008-12-22
ADSK,Autodesk,Technology,Software,
AEP,American Electric Power,Utilities,Electric Utilities,2020-12-21
ALAB,Astera Labs,Technology,Semiconductors,2026-06-22
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,2025-12-22
AMAT,Applied Materials,Technology,Semiconductors,
AMD,Advanced Micro Devices,Technology,Semiconductors,2018-12-24
AMGN,Amgen,Health Care,Biotechnology,
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,
APP,AppLovin,Technology,Software,2024-11-18
ARM,Arm Holdings,Technology,Semiconductors,2024-06-24
ASML,ASML Holding,Technology,Industrial Machinery,2017-12-18
AVGO,Broadcom,Technology,Semiconductors,2016-02-01
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,2024-12-23
BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,
BKR,Baker Hughes,Energy,Oil Equipment & Services,2022-12-19
CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,2023-12-18
CDNS,Cadence Design Systems,Technology,Software,2017-12-18
CEG,Constellation Energy,Utilities,Electric Utilities,2022-02-02
CMCSA,Comcast,Telecommunications,Cable & Other Pay Television Services,2014-12-22
COST,Costco,Consumer Discretionary,Department/Specialty Retail Stores,
CPRT,Copart,Consumer Discretionary,Retail,2019-12-23
CRWD,CrowdStrike,Technology,Software,2021-08-26
CRWV,CoreWeave,Technology,Computer Services,2026-06-22
CSCO,Cisco,Telecommunications,Computer Communications Equipment,
CSX,CSX Corporation,Industrials,Railroads,2016-02-16
CTAS,Cintas,Industrials,Garments & Clothing,2016-12-19
DASH,DoorDash,Technology,Software,2023-12-18
DDOG,Datadog,Technology,Software,2021-12-20
DXCM,DexCom,Health Care,Medical/Dental Instruments,2020-04-20
EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,2014-12-22
EXC,Exelon,Utilities,Power Generation,2019-11-21
FANG,Diamondback Energy,Energy,Oil & Gas Production,2022-12-19
FAST,Fastenal,Industrials,Construction & Materials,
FER,Ferrovial,Industrials,"Military, Government, Technical",2025-12-22
FTNT,Fortinet,Technology,Computer Peripheral Equipment,2021-12-20
GEHC,GE HealthCare,Health Care,Medical Electronics,2023-06-07
GILD,Gilead Sciences,Health Care,Biotechnology,
GOOG,Alphabet Inc. (Class C),Technology,Software,2014-04-03
GOOGL,Alphabet Inc. (Class A),Technology,Software,
HON,Honeywell Technologies,Industrials,Diversified Industrials,2021-07-21
HONA,Honeywell Aerospace,Industrials,Aerospace,2026-06-29
IDXX,Idexx Laboratories,Health Care,Biotechnology,2017-03-20
INTC,Intel,Technology,Semiconductors,
INTU,Intuit,Technology,Computer Software,
ISRG,Intuitive Surgical,Health Care,Industrial Specialties,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,2020-10-19
KHC,Kraft Heinz,Consumer Staples,Packaged Foods,2015-07-02
KLAC,KLA Corporation,Technology,Electronic Components,2016-12-19
LIN,Linde plc,Basic Materials,Major Chemicals,2024-03-18
LITE,Lumentum,Technology,Communication Equipment,2026-05-18
