ticker,security,date_added,date_removed,reason
LIFE,Life Technologies,,2014-01-24,Life Technologies acquired by Thermo Fisher Scientific Inc[195]
WPX,WPX Energy,2011-12-31,2014-03-21,Market capitalization changes[194]
CLF,Cliffs Natural Resources,2009-12-18,2014-04-02,Market capitalization changes[193]
BEAM,Suntory Global Spirits,,2014-05-01,Beam acquired by Suntory[191]
SLM,SLM Corporation,,2014-05-01,Navient Spun off from SLM[191]
LSI,LSI Corporation,,2014-05-08,Avago acquires LSI[190]
IGT,International Game Technology,,2014-06-20,Market capitalization changes[189]
FRX,Forest Laboratories,,2014-07-01,Actavis acquires Forest Laboratories[188]
X,United States Steel,,2014-07-02,Market capitalization changes[187]
RDC,Rowan Companies,,2014-08-18,Market cap changes[185]
BTU,Peabody Energy,,2014-09-20,Market cap changes[184]
GHC,Graham Holdings,,2014-09-20,Market cap changes
JBL,Jabil Circuit,,2014-11-05,Market cap changes[183]
BMS,Bemis Company,,2014-12-05,Market cap changes[182]
COV,Covidien,2011-02-28,2015-01-27,Covidien acquired by Medtronic[181]
SWY,Safeway,,2015-01-27,Safeway acquired by private equity consortium[180]
PETM,PetSmart,2012-10-10,2015-03-12,PetSmart acquired by private equity consortium[179]
CFN,Carefusion,,2015-03-18,Carefusion acquired by Becton Dickinson[178]
AGN,Allergan,,2015-03-23,Allergan acquired by Actavis (and changed name to Allergan).[177]
AVP,Avon Products,,2015-03-23,Market Capitalization Changes.
DNR,Denbury Resources,,2015-03-23,Market Capitalization Changes.[178]
NBR,Nabors Industries,,2015-03-23,Market Capitalization Changes.
WIN,Windstream Communications,,2015-04-07,Market capitalization change.[176]
LO,Lorillard Tobacco Company,2008-06-10,2015-06-11,Lorillard gets acquired.[175]
QEP,QEP Resources,2010-06-30,2015-07-01,Baxalta spun off by Baxter.[174]
TEG,Integrys Energy Group,,2015-07-01,Integrys taken over.[173]
ATI,Allegheny Technologies,,2015-07-02,Spin off of Columbia Pipeline.[172]
KRFT,Kraft Foods,2012-10-02,2015-07-06,Kraft merger with Heinz.[171]
FDO,Family Dollar,,2015-07-08,Family Dollar acquired.[170]
NE,Noble Corporation,,2015-07-20,PayPal Spun off by eBay[169]
DTV,DirecTV,,2015-07-29,DirecTV acquired by AT&T.[168]
PLL,Pall Corporation,,2015-08-28,Pall taken over[167]
HSP,Hospira,,2015-09-02,Hospira taken over[167]
JOY,Joy Global,,2015-10-07,Market capitalization change.[166]
HCBK,Hudson City Bancorp,,2015-11-02,HPQ spins off HPE[165]
GNW,Genworth Financial,,2015-11-18,GE spinning off Synchrony Financial[164]
SIAL,Sigma-Aldrich,,2015-11-19,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[163]
CSC,Computer Sciences Corporation,,2015-12-01,CSC spins off CSRA[162]
CMCSK,Comcast K Corp,2015-09-18,2015-12-15,CMCSK shares no longer listed[161]
ALTR,Altera,,2015-12-29,ALTR taken over by INTC[160]
FOSL,Fossil Group,2012-04-03,2016-01-05,WSH merges with TW (and renames to WLTW)[159]
ACE,Chubb,,2016-01-19,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[158]"
BRCM,Broadcom Corporation,,2016-02-01,FRT replaces BRCM[157]
PCP,Precision Castparts Corporation,,2016-02-01,CFG replaces PCP[156]
PCL,Plum Creek Timber,,2016-02-22,PCL taken over by WY[155]
CNX,Consol Energy,,2016-03-04,AWK replaces CNX[154]
GMCR,Keurig Green Mountain,2014-03-21,2016-03-07,JAB Holding Company acquired Keurig Green Mountain[153]
ESV,Ensco,2012-07-31,2016-03-30,Centene acquired Health Net.[152]
POM,Pepco Holdings,,2016-03-30,Exelon acquired Pepco.[152]
CAM,Cameron International,,2016-04-04,Schlumberger acquired Cameron[151]
THC,Tenet Healthcare,,2016-04-18,Ulta replaces Tenet[150]
GME,GameStop,2007-12-13,2016-04-25,Global Payments is acquiring Heartland Payment Systems[149]
ADT,ADT,2012-10-01,2016-05-03,ADT acquired by APO[148]
SNDK,SanDisk,,2016-05-13,SNDK acquired by WDC[147]
TWC,Time Warner Cable,,2016-05-18,TWC acquired by CHTR[146]
ARG,Airgas,2009-09-28,2016-05-23,ARG acquired by Air Liquide[145]
CCE,Coca-Cola Enterprises,,2016-05-31,CCE merging with European bottlers[144]
BXLT,Baxalta,2015-07-01,2016-06-03,SHPG acquiring BXLT[143]
CVC,Cablevision Systems,2010-12-17,2016-06-22,CVC acquired by Altice NV[142]
GAS,AGL Resources,2011-12-12,2016-07-01,GAS acquired by SO[141]
TE,TECO Energy,,2016-07-01,TE acquired by EMA[140]
CPGX,Columbia Pipeline Group,2015-07-02,2016-07-05,CPGX acquired by TRP[140]
TYC,Tyco International,2010-08-26,2016-09-06,TYC acquires JCI (and retains JCI ticker).[139]
EMC,EMC Corporation,,2016-09-08,Dell acquires EMC[138]
HOT,Starwood,,2016-09-22,MAR acquires HOT[137]
DO,Diamond Offshore Drilling,,2016-09-30,COTY replaces DO[136]
AA,Alcoa,,2016-11-01,AA spins off ARNC
LM,Legg Mason,,2016-12-02,Market capitalization change.[135]
OI,Owens-Illinois,2008-12-31,2016-12-02,Market capitalization change.[135]
STJ,St Jude Medical,,2017-01-05,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[134]
SE,Spectra Energy,,2017-02-28,SE acquired by ENB[133]
PBI,Pitney Bowes,,2017-03-01,CBOE acquires BATS[133]
ENDP,Endo International,2015-01-27,2017-03-02,REG acquires EQY[133]
LLTC,Linear Technology,,2017-03-13,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[132]
HAR,Harman International,,2017-03-16,Samsung Electronics acquired Harman International Industries.[131]
FSLR,First Solar,,2017-03-20,Market capitalization change.[130]
FTR,Frontier Communications,,2017-03-20,Market capitalization change.[130]
URBN,Urban Outfitters,,2017-03-20,Market capitalization change.[130]
SWN,Southwestern Energy,,2017-04-04,"HPE spins off Everett, merged with CSC to form DXC[128][129]"
DNB,Dun & Bradstreet,,2017-04-05,IT acquiring CEB[127]
TGNA,Tegna,,2017-06-02,TGNA spins off Cars.com[126]
MJN,Mead Johnson,2009-12-18,2017-06-19,Reckitt Benckiser acquired Mead Johnson Nutrition.[125]
R,Ryder System,,2017-06-19,Market capitalization changes.[124]
TDC,Teradata,2007-10-01,2017-06-19,Market capitalization changes.[124]
YHOO,Yahoo!,1999-12-08,2017-06-19,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[124]
BHI,Baker Hughes,,2017-07-07,Baker Hughes merged with GE Oil & Gas to form new company.[123]
BBBY,Bed Bath & Beyond,,2017-07-26,Market capitalization change.[122]
MNK,Mallinckrodt,2014-08-18,2017-07-26,Market capitalization change.[122]
MUR,Murphy Oil,,2017-07-26,Market capitalization change.[122]
RAI,Reynolds American,,2017-07-26,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[122]
RIG,Transocean,2013-10-29,2017-07-26,Market capitalization change.[122]
AN,AutoNation,,2017-08-08,"BHF replaced AN,[121] MET spun off BHF[121]"
WFM,Whole Foods Market,,2017-08-29,Amazon acquired Whole Foods Market.[120]
DD,DuPont,,2017-09-01,The Dow Chemical Company acquired DuPont.[120]
DOW,Dow Chemical Company,,2017-09-01,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[120]
SPLS,Staples,,2017-09-18,Sycamore Partners acquired Staples.[119]
LVLT,Level 3 Communications,2014-11-05,2017-10-13,CenturyLink acquired LVLT.[118]
BCR,CR Bard,,2018-01-03,Becton Dickinson acquired BCR.[117]
SNI,Scripps Networks Interactive,,2018-03-07,Discovery Communications acquired SNI.[116]
CHK,Chesapeake Energy,,2018-03-19,Market capitalization change.[115]
PDCO,Patterson Companies,,2018-03-19,Market capitalization change.[115]
SIG,Signet Jewelers,2015-07-29,2018-03-19,Market capitalization change.[115]
CSRA,CSRA,2015-12-01,2018-04-04,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[114]
WYN,Wyndham Worldwide,,2018-05-31,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[113]
NAVI,Navient,2014-05-01,2018-06-05,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[112]
MON,Monsanto,,2018-06-07,Bayer acquired Monsanto.[111]
AYI,Acuity Brands,2016-05-03,2018-06-18,Market capitalization change.[110]
RRC,Range Resources,2007-12-20,2018-06-18,Market capitalization change.[110]
TWX,Time Warner,,2018-06-20,AT&T acquired Time Warner.[109]
DPS,Dr Pepper Snapple Group,,2018-07-02,DPS acquired by Keurig Green Mountain.[108]
GGP,GGP,2013-12-10,2018-08-28,GGP acquired by Brookfield Property Partners.[107]
XL,XL Group,,2018-09-14,XL acquired by Axa.[106]
ANDV,Andeavor,,2018-10-01,ANDV acquired by Marathon Petroleum.[105]
EVHC,Envision Healthcare,2016-12-02,2018-10-11,EVHC acquired by KKR.[104]
CA,CA Technologies,,2018-11-06,CA acquired by Broadcom.[103]
EQT,EQT Corporation,,2018-11-13,EQT spun off ETRN[102]
AET,Aetna,,2018-12-03,CVS acquired Aetna[101]
COL,Rockwell Collins,,2018-12-03,UTX acquired COL[101]
SRCL,Stericycle,,2018-12-03,Market Capitalization change[101]
ESRX,Express Scripts,2003-09-25,2018-12-24,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[100]
SCG,SCANA,,2019-01-02,Dominion Energy acquired SCANA Corporation[99]
PCG,Pacific Gas & Electric Company,,2019-01-18,PCG filed for bankruptcy[98]
NFX,Newfield Exploration,2010-12-17,2019-02-15,ECA acquired NFX[97]
GT,The Goodyear Tire & Rubber Company,,2019-02-27,WAB acquired GE transportation business[96]
FOX,21st Century Fox,2015-09-18,2019-03-19,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[95]
FOXA,21st Century Fox,,2019-03-19,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[95]
BHF,Brighthouse Financial,2017-08-08,2019-04-02,DOW spun off from DWDP[94]
DWDP,DuPont,2017-09-01,2019-06-03,DWDP changed to DD after spinning off Corteva.[93]
FLR,Fluor Corporation,,2019-06-03,CTVA spun off from DWDP (which then changed symbol to DD)[93]
MAT,Mattel,,2019-06-07,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[92]
BMS,Bemis,2019-06-07,2019-06-11,BMS changed to AMCR post merger with Amcor;[91] subsequently renamed to Amcor[92]
LLL,L3 Technologies,,2019-07-01,L3 purchased by Harris Corporation[90]
RHT,Red Hat,,2019-07-15,S&P 500 & 100 constituent IBM acquired Red Hat.[89]
APC,Anadarko Petroleum,,2019-08-09,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[88]
FL,Foot Locker,2016-04-04,2019-08-09,Market capitalization change.[88]
TSS,TSYS,,2019-09-23,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[87]
JEF,Jefferies Financial Group,,2019-09-26,JEF spun off SPB.[86]
NKTR,Nektar Therapeutics,2018-03-19,2019-10-03,Market capitalization change.[85]
CELG,Celgene,,2019-11-21,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[84]
VIAB,Viacom,,2019-12-05,CBS acquired Viacom to form ViacomCBS.[83]
STI,SunTrust Banks,,2019-12-09,BB&T acquired SunTrust to form Truist Financial.[82]
AMG,Affiliated Managers Group,2014-07-01,2019-12-23,Market capitalization change.[81]
MAC,Macerich,2013-05-08,2019-12-23,Market capitalization change.[81]
TRIP,TripAdvisor,2011-12-20,2019-12-23,Market capitalization change.[81]
WCG,WellCare,2018-09-14,2020-01-28,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[80]
XEC,Cimarex Energy,2014-06-20,2020-03-02,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[78][79]"
ARNC,Arconic,2016-11-01,2020-04-01,Arconic separated into 2 companies - Howmet remained on the index.[77]
M,Macy's,,2020-04-06,Market capitalization change.[76]
RTN,Raytheon Company,,2020-04-06,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[76]
AGN,Allergan,,2020-05-12,Allergan acquired by AbbVie.[75]
CPRI,Capri Holdings,,2020-05-12,Market capitalization change.[75]
HP,Helmerich & Payne,2010-02-26,2020-05-22,Market capitalization change.[74]
ADS,Alliance Data Systems,2013-12-23,2020-06-22,Market capitalization change.[73]
HOG,Harley-Davidson,,2020-06-22,Market capitalization change.[73]
JWN,Nordstrom,,2020-06-22,Market capitalization change.[73]
COTY,Coty,2016-09-30,2020-09-21,Market capitalization change.[72]
HRB,H&R Block,,2020-09-21,Market capitalization change.[72]
KSS,Kohl's,,2020-09-21,Market capitalization change.[72]
ETFC,E-Trade,,2020-10-07,Morgan Stanley acquired E*Trade.[71]
NBL,Noble Energy,,2020-10-12,Chevron acquired Noble Energy.[70]
AIV,Apartment Investment & Management,,2020-12-21,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[69]
TIF,Tiffany & Co,,2021-01-07,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[68]
CXO,Concho Resources,2016-02-22,2021-01-21,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[67]
FTI,TechnipFMC,2009-06-05,2021-02-12,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[66]
FLS,Flowserve,,2021-03-22,Market capitalization change.[65]
SLG,SL Green Realty,2015-03-23,2021-03-22,Market capitalization change.[65]
VNT,Vontier,2020-10-09,2021-03-22,Market capitalization change.[65]
XRX,Xerox,,2021-03-22,Market capitalization change.[65]
VAR,Varian Medical Systems,,2021-04-20,Siemens Healthineers acquired Varian Medical Systems.[64]
FLIR,FLIR Systems,,2021-05-14,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[63]
HFC,HollyFrontier,2018-06-18,2021-06-04,Market capitalization change.[57]
ALXN,Alexion Pharmaceuticals,2012-05-21,2021-07-21,AstraZeneca acquired Alexion Pharmaceuticals.[62]
MXIM,Maxim Integrated,2018-12-03,2021-08-30,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[61]
NOV,Nov,,2021-09-20,Market capitalization change.[60]
PRGO,Perrigo,2011-12-16,2021-09-20,Market capitalization change.[60]
UNM,Unum,,2021-09-20,Market capitalization change.[60]
KSU,Kansas City Southern,2013-05-23,2021-12-14,Canadian Pacific acquired Kansas City Southern.[59]
HBI,Hanesbrands,2015-03-23,2021-12-20,Market capitalization change.[58]
LEG,Leggett & Platt,,2021-12-20,Market capitalization change.[58]
WU,Western Union,,2021-12-20,Market capitalization change.[58]
GPS,Gap,,2022-02-03,Market capitalization change.[57]
XLNX,Xilinx,,2022-02-15,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[56]
INFO,IHS Markit,2017-06-02,2022-03-02,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[55]
PBCT,People's United Financial,,2022-04-04,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[54]
DISCA,"Discovery, Inc.",,2022-04-11,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[53]
DISCK,"Discovery, Inc.",2014-08-06,2022-04-11,WarnerMedia and Discovery merge to create Warner Bros. Discovery.[53]
CERN,Cerner,2010-04-29,2022-06-08,S&P 500 constituent Oracle Corp. acquired Cerner.[52]
IPGP,IPG Photonics,2018-03-07,2022-06-21,Market capitalization change.[52]
UA,Under Armour (Class C),2016-04-08,2022-06-21,Market capitalization change.[52]
UAA,Under Armour (Class A),,2022-06-21,Market capitalization change.[52]
PENN,Penn Entertainment,2021-03-22,2022-09-19,Market capitalization change.[51]
PVH,PVH,2013-02-15,2022-09-19,Market capitalization change.[51]
CTXS,Citrix Systems,,2022-10-03,Vista Equity Partners acquired Citrix Systems.[50]
DRE,Duke Realty,2017-07-26,2022-10-03,S&P 500 constituent Prologis Inc. acquired Duke Realty.[50]
NLSN,Nielsen Holdings,2013-07-08,2022-10-12,Elliot Management Corp acquired Nielsen Holdings.[49]
TWTR,Twitter,2018-06-07,2022-11-01,Elon Musk acquired Twitter.[48]
FBHS,Fortune Brands Home & Security,2016-06-22,2022-12-19,Market capitalization change.[47]
MBC,MasterBrand,2022-12-15,2022-12-19,Market capitalization change.[47]
ABMD,Abiomed,2018-05-31,2022-12-22,S&P 500 constituent Johnson & Johnson acquired Abiomed.[46]
VNO,Vornado Realty Trust,,2023-01-05,Market capitalization change.[45]
SBNY,Signature Bank,2021-12-20,2023-03-15,The FDIC placed Signature Bank into FDIC Receivership.[43]
SIVB,SVB Financial Group,2018-03-19,2023-03-15,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[44]"
LUMN,Lumen Technologies,,2023-03-20,Market capitalization change.[42]
FRC,First Republic Bank,2019-01-02,2023-05-04,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[41]
DISH,Dish Network,2017-03-13,2023-06-20,Market capitalization change.[40]
RE,Everest Re Group,2017-06-19,2023-07-10,Everest Re Group renamed to Everest Group and changed its ticker symbol from RE to EG
AAP,Advance Auto Parts,2015-07-08,2023-08-25,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[39]
LNC,Lincoln National Corporation,,2023-09-18,Market capitalization change.[38]
NWL,Newell Brands,,2023-09-18,Market capitalization change.[38]
DXC,DXC Technology,2017-04-04,2023-10-03,Market capitalization change.[37]
ATVI,Activision Blizzard,2015-08-28,2023-10-18,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[36]
OGN,Organon & Co.,2021-06-03,2023-10-18,Market capitalization change.[36]
ALK,Alaska Air Group,2016-05-13,2023-12-18,Market capitalization change.[35]
SEDG,SolarEdge,2021-12-20,2023-12-18,Market capitalization change.[35]
SEE,Sealed Air,,2023-12-18,Market capitalization change.[35]
WHR,Whirlpool Corporation,,2024-03-18,Market capitalization change.[34]
ZION,Zions Bancorporation,,2024-03-18,Market capitalization change.[34]
