ticker,name,sector,industry,mcap_b
NVDA,NVIDIA Corp,Technology,Semiconductors,5105.23
AAPL,Apple Inc,Technology,Consumer Electronics,4631.22
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,4329.65
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,4323.7
MSFT,Microsoft Corp,Technology,Software - Infrastructure,2860.69
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,2639.15
TSM,Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,2251.5
SPCX,Space Exploration Technologies Corp,Industrials,Aerospace & Defense,1927.71
AVGO,Broadcom Inc,Technology,Semiconductors,1902.89
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1698.74
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,1531.43
SKHYV,SK Hynix Inc ADR,Technology,Semiconductors,1190.01
LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,1119.33
MU,Micron Technology Inc,Technology,Semiconductors,1106.01
BRK-A,Berkshire Hathaway Inc,Financial,Insurance - Diversified,1065.68
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified,1063.78
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,909.7
WMT,Walmart Inc,Consumer Defensive,Discount Stores,906.43
JPM,JPMorgan Chase & Co,Financial,Banks - Diversified,901.58
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,692.72
V,Visa Inc,Financial,Credit Services,657.5
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,618.61
XOM,ExxonMobil Holdings Corp,Energy,Oil & Gas Integrated,575.58
INTC,Intel Corp,Technology,Semiconductors,552.06
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,478.36
CSCO,Cisco Systems Inc,Technology,Communication Equipment,478.14
MA,Mastercard Incorporated,Financial,Credit Services,465.42
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,438.72
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,438.31
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,438.11
BAC,Bank Of America Corp,Financial,Banks - Diversified,423.45
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,406.34
ORCL,Oracle Corp,Technology,Software - Infrastructure,405.11
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,385.62
GE,GE Aerospace,Industrials,Aerospace & Defense,374.84
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,359.21
CVX,Chevron Corp,Energy,Oil & Gas Integrated,351.32
MS,Morgan Stanley,Financial,Capital Markets,350.6
ARM,Arm Holdings Plc ADR,Technology,Semiconductors,344.09
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,342.4
HD,Home Depot Inc,Consumer Cyclical,Home Improvement Retail,342.31
HSBC,HSBC Holdings plc ADR,Financial,Banks - Diversified,340.54
GS,Goldman Sachs Group Inc,Financial,Capital Markets,311.29
NFLX,Netflix Inc,Communication Services,Entertainment,308.95
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,305.12
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,303.96
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,302.43
RY,Royal Bank Of Canada,Financial,Banks - Diversified,293.37
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,293.33
SNDK,Sandisk Corp,Technology,Computer Hardware,283.73
TXN,Texas Instruments Inc,Technology,Semiconductors,283.46
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,283.07
NVS,Novartis AG ADR,Healthcare,Drug Manufacturers - General,282.0
DELL,Dell Technologies Inc,Technology,Computer Hardware,281.98
IBM,International Business Machines Corp,Technology,Information Technology Services,270.27
BABA,Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail,269.68
WFC,Wells Fargo & Co,Financial,Banks - Diversified,266.73
AZN,Astrazeneca plc,Healthcare,Drug Manufacturers - General,266.14
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,265.62
